indicator,q_grade,q_label,g_grade,g_label,n_triggers,long_n,long_upsideMean,long_upsideMedian,long_adverseMean,long_upsideAdverseRatio,long_std,long_p25,long_p75,long_skew,long_maxUpside,long_maxAdverse,short_n,short_upsideMean,short_upsideMedian,short_adverseMean,short_upsideAdverseRatio,short_std,short_p25,short_p75,short_skew,short_maxUpside,short_maxAdverse,long_retMean,long_retMedian,long_winRate,long_profitFactor,long_var95,long_retentionMean,long_retentionMedian,short_retMean,short_retMedian,short_winRate,short_profitFactor,short_var95,short_retentionMean,short_retentionMedian,long_peak_day_median,long_peak_day_mean,long_median_day_mean,long_median_day_median,long_favorable_first_rate,short_peak_day_median,short_peak_day_mean,short_median_day_mean,short_median_day_median,short_favorable_first_rate,space_bias,normal_performance,short_competitiveness,path_tag,confidence,summary
excess_5d,5,极热,1,大降,4,4,16.613,6.3104,-7.8525,2.1156,22.674,4.3894,18.534,1.9584,50.5043,-14.3778,4,7.8525,8.6876,-16.613,0.4727,6.4039,4.6017,11.9384,-0.6136,14.3778,-50.5043,2.3295,-1.8839,0.25,1.8585,-6.3874,-0.5478,-0.2953,-2.3295,1.8839,0.75,0.5381,-16.9452,14.9209,0.3556,6.5,8.5,14.8,14.5,0.5,12.0,11.2,14.8,14.5,0.5,样本不足,-,,-,无效,仅4个样本，不足以生成画像
excess_5d,5,极热,2,小降,5,5,6.9095,6.5333,-13.6129,0.5076,4.3588,2.9825,11.2108,0.096,11.4893,-26.2193,5,13.6129,11.1585,-6.9095,1.9702,7.4595,9.3636,13.9896,1.6707,26.2193,-11.4893,-5.3848,-3.0401,0.0,0.0,-14.2171,-0.8809,-0.2712,5.3848,3.0401,1.0,9.9,0.5548,0.2997,0.2724,3.0,6.2,11.8,11.0,0.8,14.0,14.6,11.8,11.0,0.2,偏空,负向,1.9702,先不利,低,做空空间优势明显，中位数价格收益为负，但常先浮亏再反转，执行压力大
excess_5d,5,极热,3,稳定,6,6,11.0715,8.9837,-6.2738,1.7647,8.3771,7.2749,10.5845,1.8992,27.312,-9.7403,6,6.2738,5.8611,-11.0715,0.5667,2.6718,4.6694,8.3079,0.1896,9.7403,-27.312,2.2512,0.3696,0.5,4.5154,-1.9707,0.01,0.0574,-2.2512,-0.3696,0.5,0.2215,-11.2157,-0.8879,-0.0977,14.0,11.5,12.7,14.0,0.3333,14.5,13.2,12.7,14.0,0.6667,多空拉扯,正向,0.5667,路径拉锯,低,多空空间接近，不宜单边操作
excess_5d,5,极热,4,小升,10,10,17.0821,12.1541,-8.8376,1.9329,14.1577,6.3121,25.9076,0.7443,41.2026,-17.4129,10,8.8376,8.1611,-17.0821,0.5174,5.2496,4.2346,12.2403,0.2663,17.4129,-41.2026,2.6215,0.8757,0.5,1.9873,-8.2881,-0.3651,-0.0053,-2.6215,-0.8757,0.5,0.5032,-15.3248,-1.4353,-0.1412,6.0,8.7,9.8,9.5,0.5,10.0,9.2,9.8,9.5,0.5,多空拉扯,正向,0.5174,路径拉锯,中,多空空间接近，不宜单边操作
excess_5d,5,极热,5,大升,17,17,17.7554,7.485,-10.4498,1.6991,19.8283,4.1949,25.9614,1.253,59.1265,-25.1957,17,10.4498,10.4238,-17.7554,0.5885,6.2467,5.468,13.9532,0.6646,25.1957,-59.1265,0.9937,-3.8372,0.3529,1.2436,-10.3745,-0.6462,-0.4748,-0.9937,3.8372,0.6471,0.8041,-20.3695,-1.1601,0.3966,11.0,9.9,10.9,11.0,0.4706,11.0,10.8,10.9,11.0,0.5294,多空拉扯,中性,0.5885,路径拉锯,中,多空空间接近，不宜单边操作
excess_10d,1,极冷,1,大降,14,14,23.2772,14.991,-6.9497,3.3494,18.6947,10.7402,33.5112,0.921,57.6067,-17.9287,14,6.9497,6.1236,-23.2772,0.2986,5.6569,2.9245,8.5945,0.8142,17.9287,-57.6067,5.945,5.2732,0.6429,4.613,-9.5682,-0.0465,0.2599,-5.945,-5.2732,0.3571,0.2168,-24.4602,-11.8136,-0.7014,10.5,9.5,13.7,13.0,0.2143,3.5,5.4,13.7,13.0,0.7857,偏多,正向,0.2986,先不利,中,做多空间优势明显，中位数价格收益为正，但常先浮亏再反转，执行压力大
excess_10d,1,极冷,2,小降,7,7,20.3969,11.1072,-7.9493,2.5659,24.3647,3.6148,28.9422,1.3966,66.7895,-16.083,7,7.9493,4.1022,-20.3969,0.3897,6.9473,2.6389,14.7938,0.2521,16.083,-66.7895,3.4068,1.9816,0.5714,2.08,-7.9829,-0.3509,0.2263,-3.4068,-1.9816,0.4286,0.4808,-21.7164,-7.7363,-0.4831,3.0,7.1,11.7,12.0,0.5714,8.0,6.4,11.7,12.0,0.4286,偏多,正向,0.3897,路径拉锯,低,做多空间优势明显，中位数价格收益为正，路径拉锯
excess_10d,1,极冷,3,稳定,11,11,16.1291,14.6484,-6.4837,2.4876,6.0559,12.2261,16.2626,1.5374,29.5335,-17.5586,11,6.4837,4.5337,-16.1291,0.402,5.5034,2.4155,9.2762,0.9083,17.5586,-29.5335,3.4285,1.5228,0.6364,6.9252,-2.3091,0.1625,0.1436,-3.4285,-1.5228,0.3636,0.1444,-10.1159,-4.1837,-0.3359,10.0,10.2,8.6,9.0,0.4545,10.0,9.6,8.6,9.0,0.4545,多空拉扯,正向,0.402,路径拉锯,中,多空空间接近，不宜单边操作
excess_10d,1,极冷,4,小升,9,9,14.6249,15.5947,-6.9135,2.1154,9.8203,11.0061,18.4012,-0.0724,29.4251,-18.3398,9,6.9135,6.5413,-14.6249,0.4727,6.6023,1.4212,12.2208,0.5343,18.3398,-29.4251,2.4858,3.2482,0.6667,2.1966,-8.3233,-0.0224,0.2388,-2.4858,-3.2482,0.3333,0.4553,-10.2898,-1.1148,-0.2019,7.0,7.1,13.0,15.0,0.4444,4.0,7.8,13.0,15.0,0.5556,多空拉扯,正向,0.4727,路径拉锯,低,多空空间接近，不宜单边操作
excess_10d,1,极冷,5,大升,4,4,17.3828,15.9839,-8.1217,2.1403,7.5012,11.6647,21.7021,0.6391,26.8033,-12.747,4,8.1217,7.9496,-17.3828,0.4672,3.6423,6.85,9.2212,0.2825,12.747,-26.8033,1.1648,0.4103,0.75,2.8154,-2.1389,0.0455,0.0357,-1.1648,-0.4103,0.25,0.3552,-5.5249,-0.3925,-0.0518,11.0,10.8,14.5,14.0,0.25,2.0,6.5,14.5,14.0,0.75,样本不足,-,,-,无效,仅4个样本，不足以生成画像
