Year,G_Bin,Q_Bin,Count,Ret_Mean,Win_Rate,Profit_Factor,VaR_95,Avg_Days,Status
2017,G7:暴增(>3%),Q3:中位(40-55),65.0,0.043690987384397396,1.0,9.9,0.03070624360286599,14.984615384615385,交易活跃
2017,G7:暴增(>3%),Q4:警戒(55-70),12.0,-0.0728971962616822,0.0,0.0,-0.07289719626168219,3.0,交易活跃
2017,G7:暴增(>3%),Q5:高位(>70),0.0,0.0,0.0,0.0,0.0,0.0,无信号
2018,G1:暴减(<-5%),Q1:低位(<20),0.0,0.0,0.0,0.0,0.0,0.0,无信号
2018,G1:暴减(<-5%),Q2:中低(20-40),164.0,-0.036942160951428514,0.0,0.0,-0.04878048780487809,12.804878048780488,交易活跃
2018,G1:暴减(<-5%),Q3:中位(40-55),44.0,0.01132160008722421,1.0,9.9,0.01094391244870042,19.727272727272727,交易活跃
2018,G1:暴减(<-5%),Q4:警戒(55-70),0.0,0.0,0.0,0.0,0.0,0.0,无信号
2018,G1:暴减(<-5%),Q5:高位(>70),0.0,0.0,0.0,0.0,0.0,0.0,无信号
2018,G2:大减(-5~-2.5%),Q1:低位(<20),208.0,-0.14142638914591604,0.0,0.0,-0.2739463601532567,33.65384615384615,交易活跃
2018,G2:大减(-5~-2.5%),Q2:中低(20-40),220.0,-0.026777986759820488,0.5318181818181819,0.44780786295523,-0.15251572327044036,20.845454545454544,交易活跃
2018,G2:大减(-5~-2.5%),Q3:中位(40-55),93.0,0.049715909090909054,1.0,9.9,0.04971590909090904,30.0,交易活跃
2018,G2:大减(-5~-2.5%),Q4:警戒(55-70),0.0,0.0,0.0,0.0,0.0,0.0,无信号
2018,G2:大减(-5~-2.5%),Q5:高位(>70),0.0,0.0,0.0,0.0,0.0,0.0,无信号
2018,G3:中减(-2.5~-1.5%),Q1:低位(<20),0.0,0.0,0.0,0.0,0.0,0.0,无信号
2018,G3:中减(-2.5~-1.5%),Q2:中低(20-40),377.0,-0.011357651619207883,0.33687002652519893,0.5331691524823962,-0.07202680067001671,19.519893899204245,交易活跃
2018,G3:中减(-2.5~-1.5%),Q3:中位(40-55),0.0,0.0,0.0,0.0,0.0,0.0,无信号
2018,G3:中减(-2.5~-1.5%),Q4:警戒(55-70),0.0,0.0,0.0,0.0,0.0,0.0,无信号
2018,G3:中减(-2.5~-1.5%),Q5:高位(>70),0.0,0.0,0.0,0.0,0.0,0.0,无信号
2018,G4:微减(-1.5~0%),Q1:低位(<20),90.0,0.02189529991106859,0.7111111111111111,5.0717053785204635,-0.024999999999999935,15.866666666666667,交易活跃
2018,G4:微减(-1.5~0%),Q2:中低(20-40),35.0,-0.06189164192697763,0.0,0.0,-0.0646853146853147,15.371428571428572,交易活跃
2018,G4:微减(-1.5~0%),Q3:中位(40-55),0.0,0.0,0.0,0.0,0.0,0.0,无信号
2018,G4:微减(-1.5~0%),Q4:警戒(55-70),8.0,0.054208273894436505,1.0,9.9,0.054208273894436505,27.0,交易活跃
2018,G4:微减(-1.5~0%),Q5:高位(>70),0.0,0.0,0.0,0.0,0.0,0.0,无信号
2018,G5:微增(0~1%),Q1:低位(<20),0.0,0.0,0.0,0.0,0.0,0.0,无信号
2018,G5:微增(0~1%),Q2:中低(20-40),182.0,0.012878705611379042,0.5,1.7555510739114362,-0.04859813084112146,22.115384615384617,交易活跃
2018,G5:微增(0~1%),Q3:中位(40-55),0.0,0.0,0.0,0.0,0.0,0.0,无信号
2018,G5:微增(0~1%),Q4:警戒(55-70),0.0,0.0,0.0,0.0,0.0,0.0,无信号
2018,G5:微增(0~1%),Q5:高位(>70),0.0,0.0,0.0,0.0,0.0,0.0,无信号
2018,G6:中增(1~3%),Q1:低位(<20),135.0,0.008023382048162154,0.837037037037037,2.870926961348146,-0.02906520031421846,13.385185185185184,交易活跃
